연도,저널 약어,논문 제목,저자,저널 상세,DOI
2025,ACS Energy Lett.,Integrated Capture and Conversion of Dilute CO2 Using Oxygen-Tolerant Porous Carbon-modified Gas Diffusion Electrode,"D. Pan, J. Yang, D. Vidyasagar, D. Kwon, U. Muliane, G.H. Gu, W. Kim, J. Kim, M.H. Oh, W. Choi",in press,https://doi.org/10.1021/acsenergylett.5c03504.s001
2025,Adv. Funct. Mater.,Triphasic WO3/Periodic Acid System for Amine-Specific Complexation and Ultrafast Photocatalytic Mineralization with Exceptional Quantum Efficiency,"F. He, S. Sun, B. Cai, R. Tian, M. W. Chung, S. Weon, W. Choi",in press,https://doi.org/10.1002/adfm.202528361
2025,Nature Commun.,C-F Bond Integration in Polymeric Carbon Nitride Enables Oxygen-Tolerant Photocatalytic Reduction of NO to N2,"S. Zhao, W. Choi",16 (2025) 11024,https://doi.org/10.1038/s41467-025-66008-z
2025,Environ. Sci. Technol.,Photooxidation of Natural and Waste Cr(III)-Bearing Hydroxides in Water and Ice: Cr(III)-O2 Complex-Mediated Oxidation and the Effect of Natural Organic Matter,"Y. Hu, J. Du, H.Y. Chung, K. Kim, G. Lee, W. Choi",59 (2025) 19502-19512,https://doi.org/10.1021/acs.est.5c09710
2025,Chem Catal.,Engineering Catalytic Sites for CO2-to-ethylene Photoconversion,"D. Vidyasagar, W. Choi",5 (2025) 101539,https://doi.org/10.1016/j.checat.2025.101539
2025,Proc. Natl. Acad. Sci. USA,Freeze-induced Crystallization: an Overlooked Pathway for Mineral Genesis in Natural Waters,"Y. Won, S. Lee, S. Lee, S. H. Park, J. Lim, W. Choi, G. Lee",122 (2025) e2421822122,https://doi.org/10.1073/pnas.2421822122
2025,Adv. Funct. Mater.,"Self-supportive Three-Way Photoelectrochemical System Achieving Uranium Recycling, Organic Oxidation, and Electricity Generation in Complex Waters","Y. Wang, Q. Zeng, H. Ji, R. Wang, J. Wang, Y. Wen, W. Choi, Q. Zeng",2503925 (2025),https://doi.org/10.1002/adfm.202503925
2025,Nat. Rev. Clean Technol.,Photo-assisted technologies for environmental remediation,"B. Weng, M. Zhang, Y. Lin, J. Yang, J. Lv, N. Han, J. Xie, H. Jia, B.-L. Su, M. Roeffaers, J. Hofkens, Y. Zhu, S. Wang, W. Choi, Y.-M. Zheng",in press (2025),https://doi.org/10.1038/s44359-025-00037-1
2025,ACS ES&T Eng.,Designing and understanding biphasic TiO2 composites for a long-lasting photocatalytic air purification,"U. Muliane, S. N. Lou, S. Lee, F. He, S. Zhao, K. Kato, A. Yamakata, W. Choi",5 (2025) 942-952,https://doi.org/10.1021/acsestengg.4c00738.s001
2025,Adv. Funct. Mater.,Molecular Engineering of Active Fe Center in Metalloporphyrin Coupled with Polyoxometalates for Efficient Photochemical Nitrogen Fixation: Synergistic Effect of Multiactive Sites Strengthening Metal-N-N* Interactions,"X. Li, Q. Dong, J. Wang, X. Liang, P. K.J. Robertson, F. Li, M. Guo, W. Choi, C. Wang",2424128 (2025),https://doi.org/10.1002/adfm.202424128
2025,ACS ES&T Eng.,Role of the TiO2 Crystalline Phase in Pt-TiO2 for Thermocatalytic Mineralization of Gaseous Acetaldehyde,"M. Lee, B. Kim, S. Kim, H. Kim, M. Park, W. Choi, W. Kim, H. Kim",5 (2025) 743-755,https://doi.org/10.1021/acsestengg.4c00654.s001
2025,Energy & Fuels,Egg Shell Mediated Ni5P4/Polypyrrole electrocatalyst for Sustainable Water Splitting,"G. Nasrin Banu, A.R. Stesho Lazuli, V. Ramalingam, K. Esackraj, R. Poonchi Sivasankaran, W. Choi, B. Neppolian",39 (2025) 750-763,https://doi.org/10.1021/acs.energyfuels.4c03688.s001
2024,ACS Nano,Designing 1 nm-thick MOF nanosheets with donor-acceptor complexes for photosynthesis of H2O2 using water and dioxygen only,"Y.-X. Li, Y. Hu, H.-S. Bae, J. Du, S. Zhao, D. Pan, W. Choi",18 (2024) 29233-29247,https://doi.org/10.1021/acsnano.4c11606
2024,Environ. Sci. Technol.,Simultaneous Oxidation of Bromide and Dissolution of Manganese Oxide Induced by Freezing,"Y. Wu, H. Wang, J. Du, Y. Hu, Q. Wu, W. Guo, W. Choi",58 (2024) 17948-17958,https://doi.org/10.1021/acs.est.4c07493
2024,Nature Commun.,Integrated Electrocatalytic Synthesis of Ammonium Nitrate from Dilute NO Gas on Metal Organic Frameworks-Modified Gas Diffusion Electrodes,"D. Pan, M. Austeria P, S. Lee, H.-S. Bae, F. He, G. H. Gu, W. Choi",15 (2024) 7243,https://doi.org/10.1038/s41467-024-51256-2
2024,J. Photochem. Photobiol. A: Chem.,Radical-Mediated Oxidative Desulfurization of Dibenzothiophene in a Chromophore-Enhanced Photocatalytic System,"J. Park, J. Yi, S. Kim, G.-h. Moon, W. Choi",456 (2024) 115854,https://doi.org/10.2139/ssrn.4846428
2024,Chem Catal.,Ti3+ Sites on Mesoporous Titania Enable Selective Photocatalytic Decomposition of NO to N2 and O2 under Visible Light,"S. Zhao, W. Choi",4 (2024) 101058,https://doi.org/10.1016/j.checat.2024.101058
2024,Appl. Catal. B: Environ. Energy,Coproduction of Hydrogen Peroxide and Formic Acid as Potential Hydrogen-Carrier through Photocatalytic Reformation of Sacrificial Chemical,"K. T. Wong, C. E. Choong, W. Kim, Y. Yoon, W. Choi, E. H. Choi, M. Jang",357 (2024) 124256,https://doi.org/10.1016/j.apcatb.2024.124256
2024,Appl. Catal. B: Environ.,Bifunctional Fenton-like Catalyst Enabling Oxidative and Reductive Removal of Contaminants Synergically in Chemical Reagent-Free Aerated Solution,"C. Kim, S. Kim, Y. Park, W. Choi",341 (2024) 123287,https://doi.org/10.1016/j.apcatb.2023.123287
2024,Appl. Catal. B: Environ.,Photoelectrochemical water oxidation using hematite modified with metal-incorporated graphitic carbon nitride film as a surface passivation and hole transfer overlayer,"T. H. Jeon, C. Park, U. Kang, G.-h. Moon, W. Kim, H. Park, W. Choi",340 (2024) 123167,https://doi.org/10.1016/j.apcatb.2023.123167
2023,Environ. Sci. Technol.,Freezing-Enhanced Photoreduction of Iodate by Fulvic Acid,"J. Du, Y. Hu, K. Kim, W. Choi",57 (2023) 20272-20281,https://doi.org/10.1021/acs.est.3c07278
2023,Nature Commun.,Unveiling the spatially confined oxidation processes in reactive electrochemical membranes,"Y. Kang, Z. Gu, B. Ma, W. Zhang, J. Sun, X. Huang, C. Hu, W. Choi, J. Qu",14 (2023) 6590 (),https://doi.org/10.1038/s41467-023-42224-3
2023,Adv. Optical Mater.,Decoding the Mechanistic Strategies of Lanthanide-based Luminescent Metal-Organic Frameworks towards Antibiotic Detection,"C. Yazhini, G. Mathew, M. Anpo, G. Maurin, W. Choi, B. Neppolian.",2301625 (2023),https://doi.org/10.1002/adom.202301625
2023,ACS Catal.,What Controls Direct Hole-Mediated Oxidation Kinetics in a Carbon Nitride-Based Photocatalytic System: A Model Study for Aqueous Aromatic Compounds,"Y. Hu, J. Du, G.-h. Moon, W. Choi",13 (2023) 12269-12280,https://doi.org/10.1021/acscatal.3c03342
2023,J. Phys. Chem. A,Biography of Michael R. Hoffmann,"K. Cho, W. Choi, D. Bahnemann",127 (2023) 6861–6864,https://doi.org/10.1021/acs.jpca.3c04805
2023,J. Phys. Chem. A,Tribute to Michael R. Hoffmann,"K. Cho, W. Choi, D. Bahnemann",127 (2023) 6859–6860,https://doi.org/10.1021/acs.jpca.3c04803
2023,Chem. Eng. J.,Repeated photocatalytic inactivation of E. coli by UV + Ni foam@TiO2: performance and photocatalyst deactivation,"M. Wang, Z. Xu, Z. Qi, Y. Cai, G. Li, W. Choi, T. An",468 (2023) 143680,https://doi.org/10.1016/j.cej.2023.143680
2023,J. Phys. Chem. C,Spectroelectrochemical Investigation of the local alkaline environment on the surface-nanostructured Au for the conversion of CO2 to CO,"B. Kim, C. W. Yoon, W. Kim, W. Choi",127 (2023) 10968-10976,https://doi.org/10.1021/acs.jpcc.3c02599
2023,Angew. Chem. Int. Ed.,Sculpting In-plane Fractal Porous Patterns in Two-Dimensional MOF Nanocrystals for Photoelectrocatalytic CO2 Reduction,"S. Dutta, A. Gurumoorthi, S. Lee, S. W. Jang, N. Kumari, Y.-R. Hong, W. Choi, C. Y. Son, I. S. Lee",e202303890 (2023),https://doi.org/10.1002/ange.202303890
2023,Environ. Sci. Technol.,MnO2-Induced Oxidation of Iodide in Frozen Solution,"J. Du, K. Kim, S. Son, D. Pan, S. Kim, W. Choi",57 (2023) 5317-5326,https://doi.org/10.1021/acs.est.3c00604
2023,Acc. Chem. Res.,Selective Control and Characteristics of Water Oxidation and Dioxygen Reduction in Environmental Photo(electro)catalytic Systems,"S. Lee, H.-S. Bae, W. Choi",56 (2023) 867-877,https://doi.org/10.1021/acs.accounts.3c00002
2023,J. Phys. Chem. C,Photoinduced Charge Storage with p-type NiO Nanoplates via Surface Trapped Holes,"S. N. Lou, V. K. Paidi, K.-S. Lee, H. Park, W. Choi",127 (2023) 5246-5254,https://doi.org/10.1021/acs.jpcc.3c00452
2023,Appl. Catal. B: Environ.,Paradox of Thiourea: A False-Positive and Promoter for Electrochemical Nitrogen Reduction on Nickel Sulfide Catalysts,"M.-C. Kim, J. Chung, T.-Y. An, J. Lee, M.-K. Han, S. Lee, W. Choi, J. K. Kim, S. S. Han, U. Sim, T. Yu",328 (2023) 122485,https://doi.org/10.1016/j.apcatb.2023.122485
2023,Appl. Catal. B: Environ.,Direct Photoconversion of Nitrite to Dinitrogen on Pd/TiO2 Coupled with Photooxidation of Aquatic Pollutants,"S. Lee, Y. Lee, W. Choi",327 (2023) 122432,https://doi.org/10.1016/j.apcatb.2023.122432
2023,ACS Catal.,Efficient Exciton Dissociation in Ionically Interacted Methyl Viologen and Polymeric Carbon Nitride for Superior H2O2 Photoproduction,"Y. Zhao, J. Gao, Z. Yang, L. Li, J. Cui, P. Zhang, C. Hu, C. Diao, W. Choi",13 (2023) 2790-2801,https://doi.org/10.1021/acscatal.2c06359
2023,Adv. Funct. Mater.,Dual-atom-site Sn-Cu/C3N4 Photocatalyst Selectively Produces Formaldehyde from CO2 Reduction,"B. Kim, D. Kwon, J.-O. Baeg, M. Austeria P, G. H. Gu, J.-H. Lee, J. Jeong, W. Kim, W. Choi",2212453 (2023),https://doi.org/10.1002/adfm.202212453
2023,J. Phys. Energy,2023 Roadmap on Photocatalytic Water Splitting,"D. Bahnemann, P. Robertson, C. Wang, W. Choi, H. Daly, M. Danish, H. d. Lasa, S. Escobedo, C. Hardacre, T. H. Jeon, B. Kim, H. Kisch, W. Li, M. Long, M. Muneer, N. Skillen, J. Zhang",5 (2023) 012004,https://doi.org/10.1088/2515-7655/aca9fd
2023,Catal. Today,Photocatalytic Mechanisms and Photocatalyst Deactivation during the Degradation of 5-fluorouracil in Water,"L. Ren, W. Huo, G. Li, W. Choi, T. An",410 (2023) 45-55,https://doi.org/10.1016/j.cattod.2022.04.027
2023,ACS Appl. Energy Mater.,Phenanthroimidazole-Based Covalent Organic Frameworks with Enhanced Activity for the Photocatalytic Hydrogen Evolution Reaction,"C.-X. Liu, D.-L. Pan, Y. Seo, S. Park, J.-L. Kan, J. Y. Koo, W. Choi, E. Lee",6 (2023) 1126-1133,https://doi.org/10.1021/acsaem.2c03897
2022,Chemosphere,Harnessing Waste Heat from Indoor Lamps for Sustainable Thermocatalytic Mineralization of Acetaldehyde Using Platinized TiO2,"M. Lee, H. Yim, B. Kim, S. Kim, W. Choi, W. Kim, H.-i. Kim",308 (2022) 136350,https://doi.org/10.1016/j.chemosphere.2022.136350
2022,ACS Catal.,Artificial Photosynthesis of H2O2 through the Reversible Photoredox Transformation between Catechol and o-Benzoquinone on Polydopamine-Coated CdS,"Z. Wei, S. Zhao, W. Li, X. Zhao, C. Chen, D. L. Phillips, Y. Zhu, W. Choi",12 (2022) 11436-11443,https://doi.org/10.1021/acscatal.2c03288
2022,Chem Catal.,Polarization-induced exciton dissociation in COF photocatalyst,"Y.-X. Li, W. Choi",2 (2022) 1517-1519,https://doi.org/10.1016/j.checat.2022.06.019
2022,ACS ES&T Engineering,Designing Eco-Functional Redox Conversions Integrated in Environmental Photo(electro)catalysis,"S. N. Lou, J. Lim, T. H. Jeon, W. Choi",2 (2022) 1116-1129,https://doi.org/10.1021/acsestengg.2c00009
2022,ACS ES&T Engineering,Solar Energy Utilization and Photo(electro)catalysis for Sustainable Environment,"W. Choi, F. Dong, M. Hatzell, G. Mul",2 (2022) 940-941,https://doi.org/10.1021/acsestengg.2c00182
2022,J. Phys. Chem. C,Cobalt-Copper Nanoparticles on Three-Dimensional Substrate for Efficient Ammonia Synthesis via Electrocatalytic Nitrate Reduction,"T. H. Jeon, Z.-Y. Wu, F.-Y. Chen, W. Choi, P. Alvarez, H. Wang",126 (2022) 6982-6989,https://doi.org/10.1021/acs.jpcc.1c10781
2022,Environ. Sci. Technol.,Freeze-Thaw Cycle-Enhanced Transformation of Iodide to Organoiodine Compounds in the Presence of Natural Organic Matter and Fe(III),"J. Du, K. Kim, D. W. Min, W. Choi",56 (2022) 1007-1016,https://doi.org/10.1021/acs.est.1c06747
2022,ACS Energy Lett.,High-Valent Iron Redox-Mediated Photoelectrochemical Water Oxidation,"T. H. Jeon, S. Han, B. Kim, C. Park, W. Kim, H. Park, W. Choi",7 (2022) 59-66,https://doi.org/10.1021/acsenergylett.1c02430
